source_text,translation_text
运算符：,연산자:
类型,유형
定时开始,타이머 시작
定时结束,타이머 종료
定时清零,타이머 초기화
定时器选择：,타이머 선택:
搜索1,검색 1
搜索2,검색 2
搜索3,검색 3
搜索4,검색 4
搜索5,검색 5
搜索6,검색 6
搜索7,검색 7
搜索8,검색 8
位置(mm),위치 (mm)
感应停止,감지 정지
标准,표준
自动,자동
并行一次,한 번 병렬 실행
等待子程序完成,서브 프로그램 완료 대기
通用,일반
信号等待,신호 대기
卡爪动作,집게 동작
速度教导,속도 교육
信号检测,신호 감지
预留输出,예약 출력
信号输出,신호 출력
检测,감지
卡爪检测,집게 감지
夹紧检测开始,클램핑 감지 시작
松开检测开始,해제 감지 시작
夹紧检测结束,클램핑 감지 종료
松开检测结束,해제 감지 종료
原料1夹紧限,원료 1 클램핑 제한
成品1夹紧限,완성품 1 클램핑 제한
卡盘1夹紧限,척 1 클램핑 제한
原料1松开限,원료 1 해제 제한
成品1松开限,완성품 1 해제 제한
卡盘1松开限,척 1 해제 제한
预留检测,예약 감지
预留ON检测,예약 ON 감지
预留OFF检测,예약 OFF 감지
预留检测结束,예약 감지 종료
吹气1通,바람 1 통함
主轴旋转1通,주축 회전 1 통함
启动加工1通,가공 시작 1 통함
主轴定位1通,주축 위치 지정 1 통함
报警灯开,경보등 켬
报警声开,경보음 켬
延时动作,지연 동작
报警自定义,경보 사용자 정의
周期停止,주기적 정지
堆叠清零,스택 리셋
放料跟随堆叠1组,공급 따라가기 스택 그룹 1
放料跟随堆叠2组,공급 따라가기 스택 그룹 2
放料跟随堆叠3组,공급 따라가기 스택 그룹 3
放料跟随堆叠4组,공급 따라가기 스택 그룹 4
堆叠9组,스택 그룹 9
堆叠10组,스택 그룹 10
堆叠11组,스택 그룹 11
预留通,예약 통함
预留通时,예약 통함 시간
预留翻转,예약 뒤집기
时间,시간
等待机床,기계 대기
等待机床信号,기계 신호 대기
等待卡爪,집게 대기
等待松开OFF,해제 OFF 대기
卡爪1反转限,집게 1 역회전 제한
卡爪1正转限,집게 1 정회전 제한
等待松开ON,해제 ON 대기
等待夹紧ON,클램핑 ON 대기
等待夹紧OFF,클램핑 OFF 대기
夹紧位置修正,클램핑 위치 수정
卡爪1松开,집게 1 해제
等待预留,예약 대기
等待预留上升沿,예약 상승 에지 대기
等待预留OFF,예약 OFF 대기
等待预留下降沿,예약 하강 에지 대기
等待预留ON,예약 ON 대기
等待预留跳变沿,예약 변동 에지 대기
返回,되돌아가기
标签,태그
整数,정수
一位小数,소수점 한 자리
两位小数,소수점 두 자리
确认删除所选动作？,선택한 동작을 삭제하시겠습니까?
删除失败,삭제 실패
X1轴超出最大范围,X1축이 최대 범위를 초과했습니다.
Y1轴超出最大范围,Y1축이 최대 범위를 초과했습니다.
Z1轴超出最大范围,Z1축이 최대 범위를 초과했습니다.
Y2轴超出最大范围,Y2축이 최대 범위를 초과했습니다.
Z2轴超出最大范围,Z2축이 최대 범위를 초과했습니다.
预留断,예약 단절
输入值的范围不能超过1450～1499,请重新输入。,입력 값의 범위는 1450~1499를 초과할 수 없습니다. 다시 입력해주세요.
复制,복사
加载,로드
预览,미리 보기
全选,모두 선택
全不选,모두 선택 취소
原文件名：,원본 파일 이름:
现文件名：,현재 파일 이름:
权限：,권한:
时间/位置允许,시간/위치 허용
时间允许,시간 허용
程序名格式错误！,프로그램 이름 형식 오류!
程序文本不能为空,프로그램 텍스트는 비어 있을 수 없습니다.
文件已经存在！,파일이 이미 존재합니다!
无法打开文件进行写入,파일을 열어 쓰기 작업을 수행할 수 없습니다.
请选择一个要复制的程序！,복사할 프로그램을 선택하세요!
程序名不能为空！,프로그램 이름은 비어 있을 수 없습니다!
文件已存在！,파일이 이미 존재합니다!
文件复制失败！,파일 복사 실패!
请选择一个要加载的程序！,로드할 프로그램을 선택하세요!
请选择一个要预览的程序！,미리 볼 프로그램을 선택하세요!
请先对文件进行解锁！,먼저 파일 잠금을 해제하세요!
确认删除文件？,파일을 삭제하시겠습니까?
不能删除当前已经加载文件！,현재 로드된 파일은 삭제할 수 없습니다!
导出成功！,내보내기 성공!
没有选择要导入的文件！,가져올 파일을 선택하지 않았습니다!
文件已存在，请确认是否覆盖？,파일이 이미 존재합니다. 덮어쓰시겠습니까?
文件导入成功！,파일 가져오기 성공!
文件名,파일 이름
最后修改时间,마지막 수정 시간
密码：,비밀번호:
变量9类型,변수 9 유형
小数,소수
变量10类型,변수 10 유형
变量11类型,변수 11 유형
变量12类型,변수 12 유형
变量13类型,변수 13 유형
变量14类型,변수 14 유형
变量15类型,변수 15 유형
变量16类型,변수 16 유형
变量1类型,변수 1 유형
变量2类型,변수 2 유형
变量3类型,변수 3 유형
变量4类型,변수 4 유형
变量5类型,변수 5 유형
变量6类型,변수 6 유형
变量7类型,변수 7 유형
变量8类型,변수 8 유형
恢复选项,복원 옵션
保留教导程序,교육 프로그램 유지
保留每转距离等数据,회전당 거리 등 데이터 유지
确认,확인
输入密码:,비밀번호 입력:
剪切,잘라내기
粘贴,붙여넣기
重命名,이름 변경
数据选项,데이터 옵션
教导文件,교육 파일
系统参数,시스템 매개변수
全部参数,모든 매개변수
浏览...,찾아보기...
请确认: [手持器]---->[U盘],확인해주세요: [핸드 컨트롤러]---->[USB]
请确认: [U盘]---->[手持器],확인해주세요: [USB]---->[핸드 컨트롤러]
是否现在进行手持器升级？,지금 핸드 컨트롤러 업그레이드를 진행하시겠습니까?
是否现在进行主板升级？,지금 메인 보드 업그레이드를 진행하시겠습니까?
当前系统无IO板,현재 시스템에 IO 보드가 없습니다.
当前系统不支持伺服升级,현재 시스템은 서보 업그레이드를 지원하지 않습니다.
是否备份设置文件U盘？,설정 파일을 USB에 백업하시겠습니까?
是否从U盘恢复设置文件？,USB에서 설정 파일을 복원하시겠습니까?
输入恢复密码，按确认按键，将恢复出场设置，并重启系统!,복원 비밀번호를 입력하고 확인 버튼을 누르면 출하 설정으로 복원되고 시스템이 재시작됩니다!
升级文件类型异常！请选择类型为M_VX_X.bin类型的文件进行升级,업그레이드 파일 유형이 잘못되었습니다! M_VX_X.bin 유형의 파일을 선택하여 업그레이드하세요.
未选中升级文件！,업그레이드 파일을 선택하지 않았습니다!
请选择文件名为MachineTool的升级文件进行升级,MachineTool이라는 파일 이름의 업그레이드 파일을 선택하세요.
未发现恢复出场设置文件！,복원용 출하 설정 파일을 찾을 수 없습니다!
