source_text,translation_text
预留通,Reserved open
预留通时,Reserved open time
预留翻转,Reserved flip
时间,Time
等待机床,Wait for machine tool
等待机床信号,Wait for machine tool signal
等待卡爪,Wait for gripper
等待松开OFF,Wait for release OFF
卡爪1反转限,Gripper 1 reverse limit
卡爪1正转限,Gripper 1 forward limit
等待松开ON,Wait for release ON
等待夹紧ON,Wait for clamping ON
等待夹紧OFF,Wait for clamping OFF
夹紧位置修正,Clamping Position correction
卡爪1松开,Gripper 1 release
等待预留,Wait for reserved
等待预留上升沿,Wait for reserved rising edge
等待预留OFF,Wait for reserved OFF
等待预留下降沿,Wait for reserved falling edge
等待预留ON,Wait for reserved ON
等待预留跳变沿,Wait for reserved change edge
返回,Return
标签,Label
整数,Integer
一位小数,One decimal place
两位小数,Two decimal places
确认删除所选动作？,Confirm deletion of selected action?
删除失败,Deletion failed
X1轴超出最大范围,X1 axis exceeds maximum range
Y1轴超出最大范围,Y1 axis exceeds maximum range
Z1轴超出最大范围,Z1 axis exceeds maximum range
Y2轴超出最大范围,Y2 axis exceeds maximum range
Z2轴超出最大范围,Z2 axis exceeds maximum range
预留断,Reserved interrupt
输入值的范围不能超过1450～1499,请重新输入。,Input value range cannot exceed 1450～1499,please re-enter.
复制,Copy
加载,Load
预览,Preview
全选,Select all
全不选,Deselect all
原文件名：,Original file name:
现文件名：,Current file name:
权限：,Permission:
时间/位置允许,Time/location allowed
时间允许,Time allowed
程序名格式错误！,Program name format error!
程序文本不能为空,Program text cannot be empty
文件已经存在！,File already exists!
无法打开文件进行写入,Unable to open file for writing
请选择一个要复制的程序！,Please select a program to copy!
程序名不能为空！,Program name cannot be empty!
文件已存在！,File already exists!
文件复制失败！,File copy failed!
请选择一个要加载的程序！,Please select a program to load!
请选择一个要预览的程序！,Please select a program to preview!
请先对文件进行解锁！,Please unlock the file first!
确认删除文件？,Confirm file deletion?
不能删除当前已经加载文件！,Cannot delete the currently loaded file!
导出成功！,Export successful!
没有选择要导入的文件！,No file selected for import!
文件已存在，请确认是否覆盖？,File already exists,please confirm if it should be overwritten?
文件导入成功！,File import successful!
文件名,File name
最后修改时间,Last modified time
密码：,Passwd:
变量9类型,Variable 9 type
小数,Decimal
变量10类型,Variable 10 type
变量11类型,Variable 11 type
变量12类型,Variable 12 type
变量13类型,Variable 13 type
变量14类型,Variable 14 type
变量15类型,Variable 15 type
变量16类型,Variable 16 type
变量1类型,Variable 1 type
变量2类型,Variable 2 type
变量3类型,Variable 3 type
变量4类型,Variable 4 type
变量5类型,Variable 5 type
变量6类型,Variable 6 type
变量7类型,Variable 7 type
变量8类型,Variable 8 type
恢复选项,Restore options
保留教导程序,Keep teaching program
保留每转距离等数据,Retain data like per-revolution distance
确认,Confirm
输入密码:,Enter password:
剪切,Cut
粘贴,Paste
重命名,Rename
数据选项,Data options
教导文件,Teaching file
系统参数,System parameters
全部参数,All parameters
浏览...,Browse...
请确认: [手持器]---->[U盘],Please confirm: [Handheld device]---->[USB drive]
请确认: [U盘]---->[手持器],Please confirm: [USB drive]---->[Handheld device]
是否现在进行手持器升级？,Do you want to upgrade the handheld device now?
是否现在进行主板升级？,Do you want to upgrade the motherboard now?
当前系统无IO板,Current system has no IO board
当前系统不支持伺服升级,Current system does not support servo upgrade
是否备份设置文件U盘？,Do you want to back up the setting file to the USB drive?
是否从U盘恢复设置文件？,Do you want to restore the setting file from the USB drive?
输入恢复密码，按确认按键，将恢复出场设置，并重启系统!,Enter the restore password,press the confirm button to restore factory settings and reboot the system!
升级文件类型异常！请选择类型为M_VX_X.bin类型的文件进行升级,Upgrade file type is abnormal! Please choose a file of type M_VX_X.bin for upgrade
未选中升级文件！,No upgrade file selected!
请选择文件名为MachineTool的升级文件进行升级,Please select the upgrade file named MachineTool for upgrading
未发现恢复出场设置文件！,Restore factory settings file not found!
